index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-60.384100466050974
2,2004.0,-19.71370291038241
3,2005.0,-8.338143285001067
4,2006.0,-5.5106259262295225
5,2007.0,-12.72756119563499
6,2008.0,10.682725628076298
7,2009.0,-11.9894245157369
8,2010.0,11.161212291063421
9,2011.0,-11.003663541629834
10,2012.0,-9.19899821393851
11,2013.0,-2.853933436437231
12,2014.0,-22.079977483170154
13,2015.0,-30.1346147205804
14,2016.0,300.02117743531005
15,2017.0,-100.87506249916973
16,2018.0,-19.62275877552372
17,2019.0,-22.434701375712734
18,2020.0,-35.62986470295499
19,2021.0,-8.04348274865049
