index,year,mass_balance_sept_to_sept_Gt
1,2003.0,10.108816472752153
2,2004.0,-4.724875099203075
3,2005.0,-37.642364326497415
4,2006.0,-63.11584346312122
5,2007.0,0.2923197860872335
6,2008.0,-31.317594828538006
7,2009.0,-95.98320026470202
8,2010.0,-35.790488122346176
9,2011.0,-104.45429782655367
10,2012.0,-30.759785052224572
11,2013.0,-10.805429019480755
12,2014.0,-55.11435245908922
13,2015.0,-34.21877150708451
14,2016.0,600.3807120584646
15,2017.0,15.803618613131562
16,2018.0,-53.567598313267126
17,2019.0,-11.60592481915819
18,2020.0,-76.70074779098297
19,2021.0,4.571558755538831
