index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-9.200839250023051
2,2004.0,-10.471762081178412
3,2005.0,-39.4965610789274
4,2006.0,2.701456633806302
5,2007.0,-35.48645473916761
6,2008.0,-11.179063760931712
7,2009.0,10.312812276954531
8,2010.0,4.851297293766095
9,2011.0,3.1217257103615736
10,2012.0,-42.05794330501186
11,2013.0,13.677082870630898
12,2014.0,-21.319986451849502
13,2015.0,18.003983186303458
14,2016.0,215.85958496828934
15,2017.0,0.5731124792982882
16,2018.0,5.86020188848687
17,2019.0,-73.1838338284108
18,2020.0,-37.189964765941966
19,2021.0,-17.716750507766392
