index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-24.7521011590962
2,2004.0,1.5336218885088044
3,2005.0,-42.946875328460585
4,2006.0,1.6364475050733205
5,2007.0,0.6729290916481006
6,2008.0,-32.83950729369239
7,2009.0,19.11420950483729
8,2010.0,-36.01078597863321
9,2011.0,-19.19684596662634
10,2012.0,3.609821022404958
11,2013.0,9.604630959434388
12,2014.0,-7.130536876631197
13,2015.0,-9.795147361219449
14,2016.0,177.60639290811665
15,2017.0,-14.27574977141279
16,2018.0,-14.17043536752152
17,2019.0,-2.728712146571354
18,2020.0,-3.87651141811898
19,2021.0,-27.272474968480935
