index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-3.855451463738376
2,2004.0,17.792390265786192
3,2005.0,-50.48809477455184
4,2006.0,-8.732627955990111
5,2007.0,-75.09781351935662
6,2008.0,-31.429717994257004
7,2009.0,-50.208762961221
8,2010.0,-41.73921108080057
9,2011.0,-62.539121257090585
10,2012.0,-59.55052839566781
11,2013.0,20.28458439800994
12,2014.0,-10.024700716455584
13,2015.0,31.962400820043513
14,2016.0,472.2549060926197
15,2017.0,-73.04279571495226
16,2018.0,-16.46061301343866
17,2019.0,-80.79146371692303
18,2020.0,-35.18419633231599
19,2021.0,-9.701188295694692
