index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-7.830120167040626
2,2004.0,3.690758133471011
3,2005.0,-14.150076882445031
4,2006.0,4.80137003919603
5,2007.0,-11.379369118454193
6,2008.0,-10.632100515809498
7,2009.0,-8.573408296427509
8,2010.0,14.616975925297915
9,2011.0,-10.605809330227721
10,2012.0,-6.932610612244034
11,2013.0,10.262983364603102
12,2014.0,-0.10748861000651999
13,2015.0,-5.2879346599170205
14,2016.0,78.30016683987947
15,2017.0,-10.255670000775552
16,2018.0,-2.138859874828782
17,2019.0,-17.6465222614069
18,2020.0,-11.346837951816482
19,2021.0,-20.087040287499903
