time,year,month,day,mb,dmdt,time,jt
2004-09-15,2004.0,9.0,15.0,-16.975846337619778,-42.13137031220162,2004-09-15,2004.707650273224
2004-10-15,2004.0,10.0,15.0,-29.658511640526378,-12.6826653029066,2004-10-15,2004.7896174863388
2004-11-15,2004.0,11.0,15.0,-30.082897954797083,-0.4243863142707056,2004-11-15,2004.8743169398906
2004-12-15,2004.0,12.0,15.0,-16.44113466985612,13.641763284940964,2004-12-15,2004.9562841530055
2005-01-15,2005.0,1.0,15.0,27.023168942417314,43.46430361227343,2005-01-15,2005.0409836065573
2005-02-15,2005.0,2.0,15.0,44.32185777439881,17.298688831981494,2005-02-15,2005.1256830601094
2005-03-15,2005.0,3.0,15.0,37.842546620382805,-6.479311154016003,2005-03-15,2005.2021857923498
2005-04-15,2005.0,4.0,15.0,55.6228883871874,17.7803417668046,2005-04-15,2005.2868852459017
2005-05-15,2005.0,5.0,15.0,55.8981289899767,0.2752406027892995,2005-05-15,2005.3688524590164
2005-06-15,2005.0,6.0,15.0,70.4911035216815,14.5929745317048,2005-06-15,2005.4535519125684
2005-07-15,2005.0,7.0,15.0,96.7215276557607,26.2304241340792,2005-07-15,2005.535519125683
2005-08-15,2005.0,8.0,15.0,26.436925139065693,-70.284602516695,2005-08-15,2005.620218579235
2005-09-15,2005.0,9.0,15.0,-17.623331761112013,-44.060256900177706,2005-09-15,2005.704918032787
2005-10-15,2005.0,10.0,15.0,-29.396134688719002,-11.772802927606987,2005-10-15,2005.7868852459017
2005-11-15,2005.0,11.0,15.0,-23.68389119911501,5.712243489603992,2005-11-15,2005.8715846994535
2005-12-15,2005.0,12.0,15.0,-10.042127914174046,13.641763284940964,2005-12-15,2005.9535519125684
2006-01-15,2006.0,1.0,15.0,33.42217569809939,43.46430361227343,2006-01-15,2006.0409836065573
2006-02-15,2006.0,2.0,15.0,32.54345101866529,-0.8787246794341002,2006-02-15,2006.1256830601094
2006-03-15,2006.0,3.0,15.0,51.84636190029009,19.302910881624804,2006-03-15,2006.2021857923498
2006-04-15,2006.0,4.0,15.0,39.375686397175194,-12.470675503114895,2006-04-15,2006.2868852459017
2006-05-15,2006.0,5.0,15.0,71.96773439192269,32.592047994747496,2006-05-15,2006.3688524590164
2006-06-15,2006.0,6.0,15.0,75.8515314651437,3.883797073221004,2006-06-15,2006.4535519125684
2006-07-15,2006.0,7.0,15.0,76.5865441199951,0.7350126548513956,2006-07-15,2006.535519125683
2006-08-15,2006.0,8.0,15.0,12.201598185899599,-64.3849459340955,2006-08-15,2006.620218579235
2006-09-15,2006.0,9.0,15.0,-21.50708469586249,-33.70868288176209,2006-09-15,2006.704918032787
2006-10-15,2006.0,10.0,15.0,-34.4858860784515,-12.978801382589012,2006-10-15,2006.7868852459017
2006-11-15,2006.0,11.0,15.0,-15.023880503369497,19.462005575082003,2006-11-15,2006.8715846994535
2006-12-15,2006.0,12.0,15.0,-1.382117218428533,13.641763284940964,2006-12-15,2006.9535519125684
