index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-110.0778804285714
2,2004.0,-219.5660000000001
3,2005.0,-263.32899999999995
4,2006.0,-154.885
5,2007.0,-345.2829999999999
6,2008.0,-219.37999999999988
7,2009.0,-232.4200000000003
8,2010.0,-478.5163124999999
9,2011.0,-383.61405142857166
10,2012.0,-460.656110383929
11,2013.0,-153.94710750000013
12,2014.0,-223.80455535714282
13,2015.0,-104.02162824107063
14,2016.0,4266.015502334636
15,2017.0,-291.84086785714317
16,2018.0,-255.64957288392952
17,2019.0,-523.3129999999992
18,2020.0,-145.01000000000022
19,2021.0,-204.21631249999973
