index,year,mass_balance_sept_to_sept_Gt
1,2003.0,-131.2890092522381
2,2004.0,-183.91912188645097
3,2005.0,-41.8171412784659
4,2006.0,18.290111548230925
5,2007.0,-138.66527289774592
6,2008.0,79.83949428896108
7,2009.0,-122.19432153560001
8,2010.0,-87.74695078883758
9,2011.0,-3.573992265861307
10,2012.0,102.5826479664828
11,2013.0,-33.12641332964586
12,2014.0,-55.57736947447631
13,2015.0,9.474017753560815
14,2016.0,816.2723752975908
15,2017.0,-25.976592213505228
16,2018.0,-97.58607353052764
17,2019.0,-164.8821588877645
18,2020.0,21.387271547260298
19,2021.0,-77.86274579044175
