index,year,mass_balance_sept_to_sept_Gt
1,2003.0,14.816523448588612
2,2004.0,-18.733150487888594
3,2005.0,-11.347401098517679
4,2006.0,-2.0227873457663037
5,2007.0,-21.4187715856865
6,2008.0,2.2868935227352836
7,2009.0,13.917589326746494
8,2010.0,-8.088864498204458
9,2011.0,13.709477610373241
10,2012.0,-25.499706051808587
11,2013.0,-11.396498976068187
12,2014.0,-9.70234233293337
13,2015.0,10.311402550749463
14,2016.0,122.89024473459877
15,2017.0,-3.201672545889238
16,2018.0,10.4663012682918
17,2019.0,-40.87047975160726
18,2020.0,-26.494256696423008
19,2021.0,13.675489995708034
