time,dec_year,mb,err,year,month,day,time,jt
2012-01-14,2012.04,-338.203133795932,13.8397009495675,2012,1,14,2012-01-14,2012.0382513661202
2012-02-13,2012.12,-328.550883096729,13.67006429414,2012,2,13,2012-02-13,2012.120218579235
2012-03-12,2012.2,-322.643739037486,13.4849442142265,2012,3,12,2012-03-12,2012.1967213114754
2012-04-14,2012.29,-318.074323025144,15.0713025583379,2012,4,14,2012-04-14,2012.2868852459017
2012-06-12,2012.45,-309.194146738518,15.053951420749,2012,6,12,2012-06-12,2012.448087431694
2012-07-14,2012.54,-363.011170861837,13.7162490611015,2012,7,14,2012-07-14,2012.535519125683
2012-08-13,2012.62,-413.683290278465,12.2357296185747,2012,8,13,2012-08-13,2012.6174863387978
2012-09-12,2012.7,-408.937488817569,13.8656970585264,2012,9,12,2012-09-12,2012.6994535519125
2012-11-13,2012.87,-390.932710133752,14.7579736730858,2012,11,13,2012-11-13,2012.8688524590164
2012-12-12,2012.95,-364.896126995086,13.3528976194019,2012,12,12,2012-12-12,2012.948087431694
2013-01-14,2013.04,-377.314299766689,12.8443971778229,2013,1,14,2013-01-14,2013.0382513661202
2013-02-13,2013.12,-400.548079520525,13.6192468904902,2013,2,13,2013-02-13,2013.120218579235
2013-04-14,2013.29,-353.271924226461,15.7118033296435,2013,4,14,2013-04-14,2013.2841530054645
2013-05-13,2013.37,-329.665366870468,12.8488895178619,2013,5,13,2013-05-13,2013.363387978142
2013-06-12,2013.45,-325.718207595425,13.4106224725028,2013,6,12,2013-06-12,2013.4453551912568
2013-07-14,2013.54,-381.333453189918,13.0157258098835,2013,7,14,2013-07-14,2013.532786885246
2013-10-14,2013.79,-429.984035527753,13.6867084441957,2013,10,14,2013-10-14,2013.7841530054645
2013-11-13,2013.87,-390.467807319196,13.6531446688632,2013,11,13,2013-11-13,2013.8661202185792
2013-12-12,2013.95,-413.883370307993,13.8224704641494,2013,12,12,2013-12-12,2013.9453551912568
2014-01-14,2014.04,-390.977658370195,17.8570853485458,2014,1,14,2014-01-14,2014.0382513661202
2014-03-12,2014.2,-375.591536885425,12.1523898754565,2014,3,12,2014-03-12,2014.1939890710382
2014-04-14,2014.29,-376.387909127039,11.9674767443505,2014,4,14,2014-04-14,2014.2841530054645
2014-05-13,2014.37,-383.420803518387,11.3069686839504,2014,5,13,2014-05-13,2014.363387978142
2014-06-12,2014.45,-372.907585123608,12.5287785688152,2014,6,12,2014-06-12,2014.4453551912568
2014-08-13,2014.62,-450.104993528019,10.8769721508044,2014,8,13,2014-08-13,2014.6147540983607
2014-09-12,2014.7,-454.025933922604,10.9691104201199,2014,9,12,2014-09-12,2014.6967213114754
2014-10-14,2014.79,-461.18476009188,10.482569468637,2014,10,14,2014-10-14,2014.7841530054645
2014-11-13,2014.87,-432.202194058762,10.5350984108169,2014,11,13,2014-11-13,2014.8661202185792
2015-01-14,2015.04,-411.854561790606,17.744851662539,2015,1,14,2015-01-14,2015.0382513661202
2015-02-13,2015.12,-416.746345811192,20.1200373637343,2015,2,13,2015-02-13,2015.120218579235
2015-03-12,2015.2,-406.25956642624,10.3886094296863,2015,3,12,2015-03-12,2015.1939890710382
2015-04-14,2015.29,-429.075049524779,10.109369863483,2015,4,14,2015-04-14,2015.2841530054645
2015-04-25,2015.32,-430.604818091466,10.2900877558749,2015,4,25,2015-04-25,2015.3142076502731
2015-07-14,2015.54,-460.302340278148,11.5007432076276,2015,7,14,2015-07-14,2015.532786885246
2015-08-13,2015.62,-480.898126451113,9.45980923766,2015,8,13,2015-08-13,2015.6147540983607
2015-09-12,2015.7,-465.680372670162,10.0708460928972,2015,9,12,2015-09-12,2015.6967213114754
2015-12-12,2015.95,-422.901143448168,12.0824206255903,2015,12,12,2015-12-12,2015.9453551912568
2016-01-14,2016.04,-422.517711292427,10.0137837335453,2016,1,14,2016-01-14,2016.0382513661202
2016-02-13,2016.12,-449.358893804988,9.7928523361095,2016,2,13,2016-02-13,2016.120218579235
2016-03-12,2016.2,-435.862443795094,10.0799163164154,2016,3,12,2016-03-12,2016.1967213114754
2016-05-13,2016.37,-398.264045157978,10.8059424817038,2016,5,13,2016-05-13,2016.3661202185792
2016-06-12,2016.45,-430.968309643771,9.92905916198931,2016,6,12,2016-06-12,2016.448087431694
2016-07-14,2016.54,-481.904789548581,9.84629921158383,2016,7,14,2016-07-14,2016.535519125683
2016-08-13,2016.62,-543.989527945757,11.9029598143091,2016,8,13,2016-08-13,2016.6174863387978
2016-11-13,2016.87,-463.764085329004,14.3576873714723,2016,11,13,2016-11-13,2016.8688524590164
2016-12-12,2016.95,-433.609622891528,13.7507817394115,2016,12,12,2016-12-12,2016.948087431694
2017-01-14,2017.04,-493.906727168002,15.5300041868647,2017,1,14,2017-01-14,2017.0382513661202
2017-03-12,2017.2,-497.946388766205,16.2214041068389,2017,3,12,2017-03-12,2017.1939890710382
2017-04-14,2017.29,-449.562037104136,15.0016064582645,2017,4,14,2017-04-14,2017.2841530054645
2017-05-13,2017.37,-471.366065890865,11.3988402059962,2017,5,13,2017-05-13,2017.363387978142
2017-06-12,2017.45,-444.79129666096,18.1953532480145,2017,6,12,2017-06-12,2017.4453551912568
2018-06-12,2018.45,-461.814667985477,12.0608798496412,2018,6,12,2018-06-12,2018.4453551912568
2018-07-14,2018.54,-512.030775174075,14.2015873746309,2018,7,14,2018-07-14,2018.532786885246
2018-10-14,2018.79,-569.733831944136,17.7514455231157,2018,10,14,2018-10-14,2018.7841530054645
2018-11-13,2018.87,-522.786951438099,12.6749792231957,2018,11,13,2018-11-13,2018.8661202185792
2018-12-12,2018.95,-504.727671071043,11.6779495117205,2018,12,12,2018-12-12,2018.9453551912568
2019-01-14,2019.04,-513.926667520632,12.0049222887578,2019,1,14,2019-01-14,2019.0382513661202
2019-02-13,2019.12,-528.783245354906,15.403436427731,2019,2,13,2019-02-13,2019.120218579235
2019-03-12,2019.2,-525.100783897528,12.4442457347993,2019,3,12,2019-03-12,2019.1939890710382
2019-04-14,2019.29,-518.127825319094,12.6909909507816,2019,4,14,2019-04-14,2019.2841530054645
2019-05-13,2019.37,-517.906988154375,11.6933905975536,2019,5,13,2019-05-13,2019.363387978142
2019-06-12,2019.45,-538.31756502152,11.5440745563388,2019,6,12,2019-06-12,2019.4453551912568
2019-07-14,2019.54,-569.369211908781,11.5332650232126,2019,7,14,2019-07-14,2019.532786885246
2019-08-13,2019.62,-620.819675173477,11.8243697711867,2019,8,13,2019-08-13,2019.6147540983607
2019-09-12,2019.7,-618.152049778986,13.0609885281837,2019,9,12,2019-09-12,2019.6967213114754
2019-10-14,2019.79,-610.944734530381,12.085760830075,2019,10,14,2019-10-14,2019.7841530054645
2019-11-13,2019.87,-599.639176221889,12.6895576886637,2019,11,13,2019-11-13,2019.8661202185792
2019-12-12,2019.95,-601.559001504682,12.634586066026,2019,12,12,2019-12-12,2019.9453551912568
2020-01-14,2020.04,-584.892815116145,14.2063616018522,2020,1,14,2020-01-14,2020.0382513661202
2020-02-13,2020.12,-594.685763165453,15.1188384312626,2020,2,13,2020-02-13,2020.120218579235
2020-03-12,2020.2,-568.162887115823,12.9412203812694,2020,3,12,2020-03-12,2020.1967213114754
2020-04-14,2020.29,-545.402088459082,12.979032896689,2020,4,14,2020-04-14,2020.2868852459017
2020-05-13,2020.37,-558.956792068338,12.8404690525541,2020,5,13,2020-05-13,2020.3661202185792
2020-06-12,2020.45,-578.733692027475,13.0752669999215,2020,6,12,2020-06-12,2020.448087431694
2020-07-14,2020.54,-659.025384743166,13.1313155530321,2020,7,14,2020-07-14,2020.535519125683
2020-08-13,2020.62,-673.225000543272,13.1314698468164,2020,8,13,2020-08-13,2020.6174863387978
2020-09-12,2020.7,-707.449897043929,13.0843043806136,2020,9,12,2020-09-12,2020.6994535519125
2020-10-14,2020.79,-661.908033168502,12.8741637327601,2020,10,14,2020-10-14,2020.7868852459017
2020-11-13,2020.87,-658.285510328284,13.7931753855391,2020,11,13,2020-11-13,2020.8688524590164
2020-12-12,2020.95,-635.877607081826,13.4871215531678,2020,12,12,2020-12-12,2020.948087431694
2021-01-14,2021.04,-606.614321219329,13.2479286893822,2021,1,14,2021-01-14,2021.0382513661202
2021-02-13,2021.12,-606.744608863186,13.6580854775957,2021,2,13,2021-02-13,2021.120218579235
2021-03-12,2021.2,-586.539498939149,12.7299771330766,2021,3,12,2021-03-12,2021.1939890710382
2021-04-14,2021.29,-610.491083987354,12.4879825468357,2021,4,14,2021-04-14,2021.2841530054645
2021-05-13,2021.37,-603.791477299247,12.8384344720931,2021,5,13,2021-05-13,2021.363387978142
2021-06-12,2021.45,-604.466777871784,13.4110958663733,2021,6,12,2021-06-12,2021.4453551912568
2021-07-14,2021.54,-616.898555275816,12.7283142975874,2021,7,14,2021-07-14,2021.532786885246
2021-08-13,2021.62,-658.618265260217,12.4683927788984,2021,8,13,2021-08-13,2021.6147540983607
2021-09-12,2021.7,-675.568229434144,12.5703718737591,2021,9,12,2021-09-12,2021.6967213114754
2021-10-14,2021.79,-661.937229434144,12.6133663036533,2021,10,14,2021-10-14,2021.7841530054645
