time,dec_year,mb,err,year,month,day,time,jt
2002-04-14,2002.29,0.0,40.9948347361204,2002,4,14,2002-04-14,2002.2841530054645
2002-05-13,2002.37,15.7289661046987,36.1988607390253,2002,5,13,2002-05-13,2002.363387978142
2002-08-13,2002.62,-34.3162877594449,25.1471541989429,2002,8,13,2002-08-13,2002.6147540983607
2002-09-12,2002.7,-78.0465195921011,33.4684848415333,2002,9,12,2002-09-12,2002.6967213114754
2002-10-14,2002.79,-70.4828193369664,20.9075193659317,2002,10,14,2002-10-14,2002.7841530054645
2002-11-13,2002.87,-65.0199408112673,22.1678994431201,2002,11,13,2002-11-13,2002.8661202185792
2002-12-12,2002.95,-51.408011789143,23.8803549840436,2002,12,12,2002-12-12,2002.9453551912568
2003-01-14,2003.04,-52.8423633556064,33.4517326788911,2003,1,14,2003-01-14,2003.0382513661202
2003-02-13,2003.12,-49.1463473192962,24.6624605740715,2003,2,13,2003-02-13,2003.120218579235
2003-03-12,2003.2,-18.0155199533275,19.6487475576179,2003,3,12,2003-03-12,2003.1939890710382
2003-04-14,2003.29,-7.13428189419832,17.9265828397603,2003,4,14,2003-04-14,2003.2841530054645
2003-05-13,2003.37,-17.2433607021826,22.5274512602019,2003,5,13,2003-05-13,2003.363387978142
2003-07-14,2003.54,-65.0006564701592,15.7753229857197,2003,7,14,2003-07-14,2003.532786885246
2003-08-13,2003.62,-85.8348849741953,16.4107211645656,2003,8,13,2003-08-13,2003.6147540983607
2003-09-12,2003.7,-86.1564110464029,16.0071715150861,2003,9,12,2003-09-12,2003.6967213114754
2003-10-14,2003.79,-85.7751837283137,15.7243958636575,2003,10,14,2003-10-14,2003.7841530054645
2003-11-13,2003.87,-72.2608851969219,16.8015071071023,2003,11,13,2003-11-13,2003.8661202185792
2003-12-12,2003.95,-77.2886965104039,15.7922812586665,2003,12,12,2003-12-12,2003.9453551912568
2004-01-14,2004.04,-56.6530340242445,24.6455312901487,2004,1,14,2004-01-14,2004.0382513661202
2004-02-13,2004.12,-53.4699205078479,17.2990660041463,2004,2,13,2004-02-13,2004.120218579235
2004-03-12,2004.2,-59.2566253233397,15.2039849102778,2004,3,12,2004-03-12,2004.1967213114754
2004-04-14,2004.29,-34.396663288152,15.8530985578524,2004,4,14,2004-04-14,2004.2868852459017
2004-05-13,2004.37,-36.6935797793707,17.8223023830411,2004,5,13,2004-05-13,2004.3661202185792
2004-06-12,2004.45,-31.0423390534645,15.4161194310488,2004,6,12,2004-06-12,2004.448087431694
2004-07-14,2004.54,-55.163138426634,14.981043107188,2004,7,14,2004-07-14,2004.535519125683
2004-08-13,2004.62,-73.3741823103546,16.3028911732092,2004,8,13,2004-08-13,2004.6174863387978
2004-09-12,2004.7,-86.0568476132612,16.5663418011056,2004,9,12,2004-09-12,2004.6994535519125
2004-10-14,2004.79,-86.4812339275319,14.9675940270587,2004,10,14,2004-10-14,2004.7868852459017
2004-11-13,2004.87,-71.4351322575823,16.2800128735264,2004,11,13,2004-11-13,2004.8688524590164
2004-12-12,2004.95,-54.1364434256008,17.0888211153651,2004,12,12,2004-12-12,2004.948087431694
2005-01-14,2005.04,-38.3252194717862,15.4909553582161,2005,1,14,2005-01-14,2005.0382513661202
2005-02-13,2005.12,-44.8045306258022,17.6519597016577,2005,2,13,2005-02-13,2005.120218579235
2005-03-12,2005.2,-27.0241888589976,18.0601757618752,2005,3,12,2005-03-12,2005.1939890710382
2005-04-14,2005.29,-26.7489482562083,17.4081091470385,2005,4,14,2005-04-14,2005.2841530054645
2005-05-13,2005.37,-12.1559737245035,18.2103433147907,2005,5,13,2005-05-13,2005.363387978142
2005-06-12,2005.45,14.0744504095757,19.0471059906211,2005,6,12,2005-06-12,2005.4453551912568
2005-07-14,2005.54,-56.2101521071193,17.1731183875371,2005,7,14,2005-07-14,2005.532786885246
2005-08-13,2005.62,-100.270409007297,16.9928461737353,2005,8,13,2005-08-13,2005.6147540983607
2005-09-12,2005.7,-112.043211934904,17.2745439727993,2005,9,12,2005-09-12,2005.6967213114754
2005-10-14,2005.79,-106.3309684453,16.4781101897513,2005,10,14,2005-10-14,2005.7841530054645
2005-11-13,2005.87,-81.9953393459221,17.5655006838741,2005,11,13,2005-11-13,2005.8661202185792
2005-12-12,2005.95,-82.8740640253562,24.0967889675721,2005,12,12,2005-12-12,2005.9453551912568
2006-01-14,2006.04,-78.7188400763962,19.3141368434884,2006,1,14,2006-01-14,2006.0382513661202
2006-02-13,2006.12,-59.4159291947714,18.8631875918107,2006,2,13,2006-02-13,2006.120218579235
2006-03-12,2006.2,-71.8866046978863,17.3412106811942,2006,3,12,2006-03-12,2006.1939890710382
2006-04-14,2006.29,-39.2945567031388,17.1132376856733,2006,4,14,2006-04-14,2006.2841530054645
2006-05-13,2006.37,-35.4107596299178,16.0791790425467,2006,5,13,2006-05-13,2006.363387978142
2006-06-12,2006.45,-34.6757469750664,19.3335814532531,2006,6,12,2006-06-12,2006.4453551912568
2006-07-14,2006.54,-99.0606929091619,18.3548077564944,2006,7,14,2006-07-14,2006.532786885246
2006-08-13,2006.62,-132.769375790924,15.4969925154601,2006,8,13,2006-08-13,2006.6147540983607
2006-09-12,2006.7,-145.748177173513,18.6128811299543,2006,9,12,2006-09-12,2006.6967213114754
2006-10-14,2006.79,-126.286171598431,16.6512170570484,2006,10,14,2006-10-14,2006.7841530054645
2006-11-13,2006.87,-133.283968488939,15.9412585177487,2006,11,13,2006-11-13,2006.8661202185792
2006-12-12,2006.95,-95.3197168174318,17.8316299201773,2006,12,12,2006-12-12,2006.9453551912568
2007-01-14,2007.04,-120.575371092984,18.405900622495,2007,1,14,2007-01-14,2007.0382513661202
2007-02-13,2007.12,-119.557447402744,17.4391053165724,2007,2,13,2007-02-13,2007.120218579235
2007-03-12,2007.2,-94.4685186170856,16.2178646591691,2007,3,12,2007-03-12,2007.1939890710382
2007-04-14,2007.29,-122.697718881753,16.3141709932901,2007,4,14,2007-04-14,2007.2841530054645
2007-05-13,2007.37,-82.1243495775486,15.8017922245476,2007,5,13,2007-05-13,2007.363387978142
2007-06-12,2007.45,-87.226221530294,16.0038986493576,2007,6,12,2007-06-12,2007.4453551912568
2007-07-14,2007.54,-140.608363538731,15.6746706356718,2007,7,14,2007-07-14,2007.532786885246
2007-08-13,2007.62,-158.281760673159,17.8466270717468,2007,8,13,2007-08-13,2007.6147540983607
2007-09-12,2007.7,-179.103610694388,18.7835178958337,2007,9,12,2007-09-12,2007.6967213114754
2007-10-14,2007.79,-180.55295001484,18.8892397474153,2007,10,14,2007-10-14,2007.7841530054645
2007-11-13,2007.87,-163.674813187856,19.6985211282214,2007,11,13,2007-11-13,2007.8661202185792
2007-12-12,2007.95,-148.760451093031,17.8545871201054,2007,12,12,2007-12-12,2007.9453551912568
2008-01-14,2008.04,-140.368352061621,16.9834222331204,2008,1,14,2008-01-14,2008.0382513661202
2008-02-13,2008.12,-115.655979468639,19.555118531606,2008,2,13,2008-02-13,2008.120218579235
2008-03-12,2008.2,-139.989997814308,17.074506029352,2008,3,12,2008-03-12,2008.1967213114754
2008-04-14,2008.29,-121.205954968039,18.5911576653767,2008,4,14,2008-04-14,2008.2868852459017
2008-05-13,2008.37,-117.446819331751,17.2642440487795,2008,5,13,2008-05-13,2008.3661202185792
2008-06-12,2008.45,-111.951334763763,15.6028668703565,2008,6,12,2008-06-12,2008.448087431694
2008-07-14,2008.54,-170.213898494648,17.0474966955127,2008,7,14,2008-07-14,2008.535519125683
2008-08-13,2008.62,-212.281305244884,15.8933751586941,2008,8,13,2008-08-13,2008.6174863387978
2008-09-12,2008.7,-234.342400555386,16.7676741384265,2008,9,12,2008-09-12,2008.6994535519125
2008-10-14,2008.79,-209.945189669845,15.9928526458899,2008,10,14,2008-10-14,2008.7868852459017
2008-11-13,2008.87,-197.925010170747,18.3581489875215,2008,11,13,2008-11-13,2008.8688524590164
2008-12-12,2008.95,-202.094728664236,18.1324255859861,2008,12,12,2008-12-12,2008.948087431694
2009-01-14,2009.04,-169.781434600366,17.7726402333457,2009,1,14,2009-01-14,2009.0382513661202
2009-02-13,2009.12,-193.383044089411,18.7097372934601,2009,2,13,2009-02-13,2009.120218579235
2009-03-12,2009.2,-171.362591135556,18.2692843932389,2009,3,12,2009-03-12,2009.1939890710382
2009-04-14,2009.29,-182.358486049313,15.3445460801384,2009,4,14,2009-04-14,2009.2841530054645
2009-05-13,2009.37,-163.065619057642,15.2194943553727,2009,5,13,2009-05-13,2009.363387978142
2009-06-12,2009.45,-171.037652980299,16.3501119060547,2009,6,12,2009-06-12,2009.4453551912568
2009-07-14,2009.54,-213.416593253775,19.4009939270265,2009,7,14,2009-07-14,2009.532786885246
2009-08-13,2009.62,-279.013536583242,18.6129922291261,2009,8,13,2009-08-13,2009.6147540983607
2009-09-12,2009.7,-296.167946820339,18.2480916315349,2009,9,12,2009-09-12,2009.6967213114754
2009-10-14,2009.79,-278.685931493501,19.1399051223232,2009,10,14,2009-10-14,2009.7841530054645
2009-11-13,2009.87,-251.985620445628,18.4638010948621,2009,11,13,2009-11-13,2009.8661202185792
2009-12-12,2009.95,-243.589325570696,18.4653391622568,2009,12,12,2009-12-12,2009.9453551912568
2010-01-14,2010.04,-245.433685506575,18.7917745710322,2010,1,14,2010-01-14,2010.0382513661202
2010-02-13,2010.12,-235.495559667877,19.0540103726969,2010,2,13,2010-02-13,2010.120218579235
2010-03-12,2010.2,-224.428995580799,18.9492729743587,2010,3,12,2010-03-12,2010.1939890710382
2010-04-14,2010.29,-217.371607332032,18.5740218715226,2010,4,14,2010-04-14,2010.2841530054645
2010-05-13,2010.37,-211.239901020128,18.379818853078,2010,5,13,2010-05-13,2010.363387978142
2010-06-12,2010.45,-216.714088573678,19.9940797613834,2010,6,12,2010-06-12,2010.4453551912568
2010-07-14,2010.54,-279.09272109734,15.8428383561518,2010,7,14,2010-07-14,2010.532786885246
2010-08-13,2010.62,-314.457273490309,14.3826763932569,2010,8,13,2010-08-13,2010.6147540983607
2010-09-12,2010.7,-335.755971886815,14.9291226284477,2010,9,12,2010-09-12,2010.6967213114754
2010-10-14,2010.79,-331.325120078236,15.1757575880185,2010,10,14,2010-10-14,2010.7841530054645
2010-11-13,2010.87,-334.214618359276,15.7674063560584,2010,11,13,2010-11-13,2010.8661202185792
2010-12-12,2010.95,-305.58493249623,16.9016661242808,2010,12,12,2010-12-12,2010.9453551912568
2011-02-13,2011.12,-285.546547408071,20.9094234514324,2011,2,13,2011-02-13,2011.120218579235
2011-03-12,2011.2,-309.38942637619,15.9713341216392,2011,3,12,2011-03-12,2011.1939890710382
2011-04-14,2011.29,-275.428183588028,15.1076326208087,2011,4,14,2011-04-14,2011.2841530054645
2011-05-13,2011.37,-280.067270873148,14.568019433293,2011,5,13,2011-05-13,2011.363387978142
2011-07-14,2011.54,-309.770479517622,16.3938805788725,2011,7,14,2011-07-14,2011.532786885246
2011-08-13,2011.62,-357.100240430585,15.0271975976793,2011,8,13,2011-08-13,2011.6147540983607
2011-09-12,2011.7,-386.88485847479,14.6524790041769,2011,9,12,2011-09-12,2011.6967213114754
2011-10-14,2011.79,-370.402197967769,14.7338765606396,2011,10,14,2011-10-14,2011.7841530054645
2011-11-13,2011.87,-356.760434682828,16.3478477908187,2011,11,13,2011-11-13,2011.8661202185792
2011-12-12,2011.95,-329.376485374719,16.0293171629298,2011,12,12,2011-12-12,2011.9453551912568
