time,dec_year,mb,err,year,month,day,time,jt
2002-04-14,2002.29,0.0,30.448868209379,2002,4,14,2002-04-14,2002.2841530054645
2002-05-13,2002.37,-12.9638396563776,26.0249340902524,2002,5,13,2002-05-13,2002.363387978142
2002-08-13,2002.62,-47.8686279933139,18.5550726298109,2002,8,13,2002-08-13,2002.6147540983607
2002-09-12,2002.7,-27.3852506142069,24.2423470421769,2002,9,12,2002-09-12,2002.6967213114754
2002-10-14,2002.79,-22.5160142422544,15.2544426014516,2002,10,14,2002-10-14,2002.7841530054645
2002-11-13,2002.87,-24.4940508348694,16.4631010722757,2002,11,13,2002-11-13,2002.8661202185792
2002-12-12,2002.95,-16.4812918057464,17.8877302011311,2002,12,12,2002-12-12,2002.9453551912568
2003-01-14,2003.04,-8.04475808501706,24.0707628575725,2003,1,14,2003-01-14,2003.0382513661202
2003-02-13,2003.12,-11.5545201926803,17.6422420631657,2003,2,13,2003-02-13,2003.120218579235
2003-03-12,2003.2,-5.7910395950584,14.2804895070736,2003,3,12,2003-03-12,2003.1939890710382
2003-04-14,2003.29,-19.4721650775476,13.0205685631822,2003,4,14,2003-04-14,2003.2841530054645
2003-05-13,2003.37,-9.23972874676805,16.1837787879127,2003,5,13,2003-05-13,2003.363387978142
2003-07-14,2003.54,-35.0839869333732,11.5722450600093,2003,7,14,2003-07-14,2003.532786885246
2003-08-13,2003.62,-40.4120704605483,11.8539342673034,2003,8,13,2003-08-13,2003.6147540983607
2003-09-12,2003.7,-37.1760724261243,11.7154506574607,2003,9,12,2003-09-12,2003.6967213114754
2003-10-14,2003.79,-28.0299219163695,11.522316629549,2003,10,14,2003-10-14,2003.7841530054645
2003-11-13,2003.87,-31.1200961087854,12.1554450661066,2003,11,13,2003-11-13,2003.8661202185792
2003-12-12,2003.95,-22.5024628590299,11.4711864989726,2003,12,12,2003-12-12,2003.9453551912568
2004-01-14,2004.04,0.66381073888074,17.4896897490233,2004,1,14,2004-01-14,2004.0382513661202
2004-02-13,2004.12,-16.9101111043015,12.5587575585659,2004,2,13,2004-02-13,2004.120218579235
2004-03-12,2004.2,-20.3466725761384,11.2139355871495,2004,3,12,2004-03-12,2004.1967213114754
2004-04-14,2004.29,-14.6945960739781,11.7979168302222,2004,4,14,2004-04-14,2004.2868852459017
2004-05-13,2004.37,-3.87453061757978,13.1256908930319,2004,5,13,2004-05-13,2004.3661202185792
2004-06-12,2004.45,-1.29230428547898,11.427978005621,2004,6,12,2004-06-12,2004.448087431694
2004-07-14,2004.54,-12.1548456186716,11.1220224278804,2004,7,14,2004-07-14,2004.535519125683
2004-08-13,2004.62,-28.3029762520446,12.0736221746377,2004,8,13,2004-08-13,2004.6174863387978
2004-09-12,2004.7,-16.2571357904117,12.2252114327306,2004,9,12,2004-09-12,2004.6994535519125
2004-10-14,2004.79,-18.4221430364491,11.1239673971587,2004,10,14,2004-10-14,2004.7868852459017
2004-11-13,2004.87,4.14174679717629,12.1367878629685,2004,11,13,2004-11-13,2004.8688524590164
2004-12-12,2004.95,9.32399605805137,12.5702363999656,2004,12,12,2004-12-12,2004.948087431694
2005-01-14,2005.04,29.3637232860356,11.5522671924555,2005,1,14,2005-01-14,2005.0382513661202
2005-02-13,2005.12,24.8722157044053,13.240073700622,2005,2,13,2005-02-13,2005.120218579235
2005-03-12,2005.2,27.0129162179731,13.7314494653894,2005,3,12,2005-03-12,2005.1939890710382
2005-04-14,2005.29,23.6016760350542,13.3712837786024,2005,4,14,2005-04-14,2005.2841530054645
2005-05-13,2005.37,30.8383155917465,14.0436039769598,2005,5,13,2005-05-13,2005.363387978142
2005-06-12,2005.45,22.0494663776268,14.66797723884,2005,6,12,2005-06-12,2005.4453551912568
2005-07-14,2005.54,-7.34130273876686,13.1371290198029,2005,7,14,2005-07-14,2005.532786885246
2005-08-13,2005.62,-44.7307813507167,12.8774938796848,2005,8,13,2005-08-13,2005.6147540983607
2005-09-12,2005.7,-38.6279029620289,13.1081490662062,2005,9,12,2005-09-12,2005.6967213114754
2005-10-14,2005.79,-33.3390211936088,12.5182782084316,2005,10,14,2005-10-14,2005.7841530054645
2005-11-13,2005.87,-31.7449802417979,13.2810428974566,2005,11,13,2005-11-13,2005.8661202185792
2005-12-12,2005.95,-15.3137117110804,18.3685662977856,2005,12,12,2005-12-12,2005.9453551912568
