"time_GRACE" "GRACE_GIA_hydro" "err_plot"
"1" 2002.29 0 40.9948347361204
"2" 2002.37 15.7289661046987 36.1988607390253
"3" NA NA NA
"4" 2002.62 -34.3162877594449 25.1471541989429
"5" 2002.7 -78.0465195921011 33.4684848415333
"6" 2002.79 -70.4828193369664 20.9075193659317
"7" 2002.87 -65.0199408112673 22.1678994431201
"8" 2002.95 -51.408011789143 23.8803549840436
"9" 2003.04 -52.8423633556064 33.4517326788911
"10" 2003.12 -49.1463473192962 24.6624605740715
"11" 2003.2 -18.0155199533275 19.6487475576179
"12" 2003.29 -7.13428189419832 17.9265828397603
"13" 2003.37 -17.2433607021826 22.5274512602019
"14" NA NA NA
"15" 2003.54 -65.0006564701592 15.7753229857197
"16" 2003.62 -85.8348849741953 16.4107211645656
"17" 2003.7 -86.1564110464029 16.0071715150861
"18" 2003.79 -85.7751837283137 15.7243958636575
"19" 2003.87 -72.2608851969219 16.8015071071023
"20" 2003.95 -77.2886965104039 15.7922812586665
"21" 2004.04 -56.6530340242445 24.6455312901487
"22" 2004.12 -53.4699205078479 17.2990660041463
"23" 2004.2 -59.2566253233397 15.2039849102778
"24" 2004.29 -34.396663288152 15.8530985578524
"25" 2004.37 -36.6935797793707 17.8223023830411
"26" 2004.45 -31.0423390534645 15.4161194310488
"27" 2004.54 -55.163138426634 14.981043107188
"28" 2004.62 -73.3741823103546 16.3028911732092
"29" 2004.7 -86.0568476132612 16.5663418011056
"30" 2004.79 -86.4812339275319 14.9675940270587
"31" 2004.87 -71.4351322575823 16.2800128735264
"32" 2004.95 -54.1364434256008 17.0888211153651
"33" 2005.04 -38.3252194717862 15.4909553582161
"34" 2005.12 -44.8045306258022 17.6519597016577
"35" 2005.2 -27.0241888589976 18.0601757618752
"36" 2005.29 -26.7489482562083 17.4081091470385
"37" 2005.37 -12.1559737245035 18.2103433147907
"38" 2005.45 14.0744504095757 19.0471059906211
"39" 2005.54 -56.2101521071193 17.1731183875371
"40" 2005.62 -100.270409007297 16.9928461737353
"41" 2005.7 -112.043211934904 17.2745439727993
"42" 2005.79 -106.3309684453 16.4781101897513
"43" 2005.87 -81.9953393459221 17.5655006838741
"44" 2005.95 -82.8740640253562 24.0967889675721
"45" 2006.04 -78.7188400763962 19.3141368434884
"46" 2006.12 -59.4159291947714 18.8631875918107
"47" 2006.2 -71.8866046978863 17.3412106811942
"48" 2006.29 -39.2945567031388 17.1132376856733
"49" 2006.37 -35.4107596299178 16.0791790425467
"50" 2006.45 -34.6757469750664 19.3335814532531
"51" 2006.54 -99.0606929091619 18.3548077564944
"52" 2006.62 -132.769375790924 15.4969925154601
"53" 2006.7 -145.748177173513 18.6128811299543
"54" 2006.79 -126.286171598431 16.6512170570484
"55" 2006.87 -133.283968488939 15.9412585177487
"56" 2006.95 -95.3197168174318 17.8316299201773
"57" 2007.04 -120.575371092984 18.405900622495
"58" 2007.12 -119.557447402744 17.4391053165724
"59" 2007.2 -94.4685186170856 16.2178646591691
"60" 2007.29 -122.697718881753 16.3141709932901
"61" 2007.37 -82.1243495775486 15.8017922245476
"62" 2007.45 -87.226221530294 16.0038986493576
"63" 2007.54 -140.608363538731 15.6746706356718
"64" 2007.62 -158.281760673159 17.8466270717468
"65" 2007.7 -179.103610694388 18.7835178958337
"66" 2007.79 -180.55295001484 18.8892397474153
"67" 2007.87 -163.674813187856 19.6985211282214
"68" 2007.95 -148.760451093031 17.8545871201054
"69" 2008.04 -140.368352061621 16.9834222331204
"70" 2008.12 -115.655979468639 19.555118531606
"71" 2008.2 -139.989997814308 17.074506029352
"72" 2008.29 -121.205954968039 18.5911576653767
"73" 2008.37 -117.446819331751 17.2642440487795
"74" 2008.45 -111.951334763763 15.6028668703565
"75" 2008.54 -170.213898494648 17.0474966955127
"76" 2008.62 -212.281305244884 15.8933751586941
"77" 2008.7 -234.342400555386 16.7676741384265
"78" 2008.79 -209.945189669845 15.9928526458899
"79" 2008.87 -197.925010170747 18.3581489875215
"80" 2008.95 -202.094728664236 18.1324255859861
"81" 2009.04 -169.781434600366 17.7726402333457
"82" 2009.12 -193.383044089411 18.7097372934601
"83" 2009.2 -171.362591135556 18.2692843932389
"84" 2009.29 -182.358486049313 15.3445460801384
"85" 2009.37 -163.065619057642 15.2194943553727
"86" 2009.45 -171.037652980299 16.3501119060547
"87" 2009.54 -213.416593253775 19.4009939270265
"88" 2009.62 -279.013536583242 18.6129922291261
"89" 2009.7 -296.167946820339 18.2480916315349
"90" 2009.79 -278.685931493501 19.1399051223232
"91" 2009.87 -251.985620445628 18.4638010948621
"92" 2009.95 -243.589325570696 18.4653391622568
"93" 2010.04 -245.433685506575 18.7917745710322
"94" 2010.12 -235.495559667877 19.0540103726969
"95" 2010.2 -224.428995580799 18.9492729743587
"96" 2010.29 -217.371607332032 18.5740218715226
"97" 2010.37 -211.239901020128 18.379818853078
