"time_GRACE" "GRACE_GIA_hydro" "err_plot"
"1" 2002.29 0 30.448868209379
"2" 2002.37 -12.9638396563776 26.0249340902524
"3" NA NA NA
"4" 2002.62 -47.8686279933139 18.5550726298109
"5" 2002.7 -27.3852506142069 24.2423470421769
"6" 2002.79 -22.5160142422544 15.2544426014516
"7" 2002.87 -24.4940508348694 16.4631010722757
"8" 2002.95 -16.4812918057464 17.8877302011311
"9" 2003.04 -8.04475808501706 24.0707628575725
"10" 2003.12 -11.5545201926803 17.6422420631657
"11" 2003.2 -5.7910395950584 14.2804895070736
"12" 2003.29 -19.4721650775476 13.0205685631822
"13" 2003.37 -9.23972874676805 16.1837787879127
"14" NA NA NA
"15" 2003.54 -35.0839869333732 11.5722450600093
"16" 2003.62 -40.4120704605483 11.8539342673034
"17" 2003.7 -37.1760724261243 11.7154506574607
"18" 2003.79 -28.0299219163695 11.522316629549
"19" 2003.87 -31.1200961087854 12.1554450661066
"20" 2003.95 -22.5024628590299 11.4711864989726
"21" 2004.04 0.66381073888074 17.4896897490233
"22" 2004.12 -16.9101111043015 12.5587575585659
"23" 2004.2 -20.3466725761384 11.2139355871495
"24" 2004.29 -14.6945960739781 11.7979168302222
"25" 2004.37 -3.87453061757978 13.1256908930319
"26" 2004.45 -1.29230428547898 11.427978005621
"27" 2004.54 -12.1548456186716 11.1220224278804
"28" 2004.62 -28.3029762520446 12.0736221746377
"29" 2004.7 -16.2571357904117 12.2252114327306
"30" 2004.79 -18.4221430364491 11.1239673971587
"31" 2004.87 4.14174679717629 12.1367878629685
"32" 2004.95 9.32399605805137 12.5702363999656
"33" 2005.04 29.3637232860356 11.5522671924555
"34" 2005.12 24.8722157044053 13.240073700622
"35" 2005.2 27.0129162179731 13.7314494653894
"36" 2005.29 23.6016760350542 13.3712837786024
"37" 2005.37 30.8383155917465 14.0436039769598
"38" 2005.45 22.0494663776268 14.66797723884
"39" 2005.54 -7.34130273876686 13.1371290198029
"40" 2005.62 -44.7307813507167 12.8774938796848
"41" 2005.7 -38.6279029620289 13.1081490662062
"42" 2005.79 -33.3390211936088 12.5182782084316
"43" 2005.87 -31.7449802417979 13.2810428974566
"44" 2005.95 -15.3137117110804 18.3685662977856
"45" 2006.04 -23.3913120860308 14.7674385968004
"46" 2006.12 -16.2136147853408 14.3735031344893
"47" 2006.2 -13.3458815224097 13.100011942609
"48" 2006.29 -15.9847553545981 13.0981189383089
"49" 2006.37 -14.6036042829533 12.3985170474502
