"time_GRACE" "GRACE_GIA_hydro" "err_plot"
"1" 2002.29 0 83.9243301275613
"2" 2002.37 10.3136447495748 78.7499264662579
"3" NA NA NA
"4" 2002.62 -250.57158079504 54.0824826419072
"5" 2002.7 -350.291789188314 72.191759523964
"6" 2002.79 -299.032661574857 45.4436364025176
"7" 2002.87 -287.75450458372 48.5366178181812
"8" 2002.95 -203.257117757099 52.7158634349778
"9" 2003.04 -133.39132821652 72.4329706739105
"10" 2003.12 -112.426368789924 54.8437914225441
"11" 2003.2 -107.41389675335 44.225044525721
"12" 2003.29 -98.3353713403975 40.191329230355
"13" 2003.37 -126.334630650662 50.3270204851574
"14" NA NA NA
"15" 2003.54 -278.081864886501 35.4451872056906
"16" 2003.62 -393.006327966784 37.7796945654229
"17" 2003.7 -420.238706988774 36.3151393663302
"18" 2003.79 -411.62055620958 35.7509733948909
"19" 2003.87 -401.884653939286 38.4585148480138
"20" 2003.95 -306.671579327021 35.8909124914037
"21" 2004.04 -250.716512111577 56.4558256030172
"22" 2004.12 -220.079288176933 38.8646790820615
"23" 2004.2 -164.313102312198 34.2930616180211
"24" 2004.29 -99.3076055847185 35.4403994074145
"25" 2004.37 -145.395745940665 40.3824655941972
"26" 2004.45 -256.459732213898 35.8863296315818
"27" 2004.54 -413.857256527059 35.4719106796995
"28" 2004.62 -553.963152423612 40.0584863996371
"29" 2004.7 -601.707865943649 42.2587678160797
"30" 2004.79 -550.662217301031 36.832808459328
"31" 2004.87 -499.749311920786 38.1124133777814
"32" 2004.95 -377.772785610186 39.5021341861865
"33" 2005.04 -324.267681326318 35.5882531354028
"34" 2005.12 -276.654822519303 39.8373690049322
"35" 2005.2 -218.821866332709 40.4835859551447
"36" 2005.29 -198.624559792606 39.0456774003942
"37" 2005.37 -271.310127603036 40.467608585611
"38" 2005.45 -374.112512576589 42.2597472488688
"39" 2005.54 -489.025641731563 39.146508499524
"40" 2005.62 -594.56380820794 39.1960646049446
"41" 2005.7 -634.535188753138 39.6998957736854
"42" 2005.79 -615.797464458042 38.1391298492078
"43" 2005.87 -587.415119366399 40.5043231669031
"44" 2005.95 -503.834974021209 53.5631236340295
"45" 2006.04 -459.319688206318 43.5915516964552
"46" 2006.12 -415.463380158676 43.2919141233181
"47" 2006.2 -378.155588081039 40.7651258233361
"48" 2006.29 -355.148838452043 40.3275768327291
"49" 2006.37 -355.293930257161 38.435033130442
"50" 2006.45 -435.008391207173 46.0776030061952
"51" 2006.54 -539.09951261571 43.6243782158801
"52" 2006.62 -616.869007121383 38.1858098242412
"53" 2006.7 -678.146089208309 44.8056655748623
"54" 2006.79 -654.450569285509 40.9166930070127
"55" 2006.87 -600.188493204485 39.2409401479918
"56" 2006.95 -562.293658729286 42.7710718966851
"57" 2007.04 -455.877360910993 43.7611580570838
"58" 2007.12 -444.719858685807 42.265685518454
"59" 2007.2 -406.885407142268 40.3786966362545
"60" 2007.29 -377.632315780092 40.7242381416148
"61" 2007.37 -387.908524892173 39.9036887125519
"62" 2007.45 -473.254982015489 40.6060977896399
"63" 2007.54 -575.023520755085 39.8347064676496
"64" 2007.62 -700.839831194958 44.0842840857218
"65" 2007.7 -751.945450312678 45.980702685605
"66" 2007.79 -715.038398671274 45.9335440027927
"67" 2007.87 -674.08198177744 47.4152973519295
"68" 2007.95 -591.98817601791 44.5350024664412
"69" 2008.04 -550.437789992994 43.3763467974393
"70" 2008.12 -493.933141400825 48.0801908659104
"71" 2008.2 -429.802010402331 43.7565834435506
"72" 2008.29 -387.225188962367 46.9462040003974
"73" 2008.37 -405.808173437782 44.7372618726959
"74" 2008.45 -502.721803009268 42.1256823942831
"75" 2008.54 -566.64256631886 44.5030662695079
"76" 2008.62 -641.379837444872 42.5253617664551
"77" 2008.7 -693.222466407471 44.045569945051
"78" 2008.79 -667.890975145528 42.9982840737252
"79" 2008.87 -632.272027411615 47.2950517542675
"80" 2008.95 -571.680848169548 47.2731418477877
"81" 2009.04 -509.013951760878 47.0327242271083
"82" 2009.12 -430.347792752418 48.739609672343
"83" 2009.2 -389.962844531532 48.150653029947
"84" 2009.29 -354.245130707531 43.5454096937552
"85" 2009.37 -432.375858769145 43.5912179423355
"86" 2009.45 -527.394307606421 45.4395058871328
"87" 2009.54 -648.890357565253 50.3914039506895
"88" 2009.62 -774.051769911605 49.4151169352009
"89" 2009.7 -820.602140016695 48.8449091707698
"90" 2009.79 -827.993935249806 50.820528627576
"91" 2009.87 -793.643783940728 49.73028416377
"92" 2009.95 -712.990460304139 49.7432540752647
"93" 2010.04 -645.138211821845 50.9112212576131
"94" 2010.12 -625.072751655753 52.1328115844397
"95" 2010.2 -627.614287874787 51.7086539064489
"96" 2010.29 -595.745729169767 50.6762484634361
"97" 2010.37 -582.225341357395 50.3784097852457
"98" 2010.45 -669.701700419339 53.1265625732586
"99" 2010.54 -760.387381638776 47.5912638596108
"100" 2010.62 -838.285348352828 45.9051232846868
"101" 2010.7 -909.363023723167 46.9451091567778
"102" 2010.79 -903.644735631073 47.5366092725
"103" 2010.87 -821.966324602154 48.6596420338642
"104" 2010.95 -743.455257310791 50.6127876234548
"105" NA NA NA
"106" 2011.12 -670.539631970395 57.5063153640648
"107" 2011.2 -676.445943001397 49.8175918591569
"108" 2011.29 -629.015198798085 48.8090908329854
"109" 2011.37 -669.808281333281 48.167462142253
"110" NA NA NA
"111" 2011.54 -840.356505651895 51.2158219726137
"112" 2011.62 -903.049438627706 49.7146502142568
"113" 2011.7 -935.491587218966 49.7032684310514
"114" 2011.79 -914.86523815911 49.837817787492
"115" 2011.87 -851.932104538312 51.9605357240278
"116" 2011.95 -716.740667791898 51.4245602576511
"117" 2012.04 -633.921120357969 49.1125665877617
"118" 2012.12 -574.23378733639 49.6901771453026
"119" 2012.2 -512.200939626534 50.0774652270694
"120" 2012.29 -488.91042352955 54.0494707204678
"121" 2012.45 -599.928280168802 57.6647594623878
"122" 2012.54 -687.428282499816 53.3908917642265
"123" 2012.62 -827.486765587625 49.8767180470485
"124" 2012.7 -814.778267943062 52.0279308864344
"125" NA NA NA
"126" 2012.87 -842.556767606235 53.3405576743753
"127" 2012.95 -820.625669140416 51.5608737394942
"128" 2013.04 -748.88745596528 51.2174755737082
"129" 2013.12 -663.433847627653 52.4680514395265
"130" NA NA NA
"131" 2013.29 -604.327239130408 55.7860280400053
"132" 2013.37 -583.429448356919 52.2136007743806
"133" 2013.45 -698.176802350912 53.123558414024
"134" 2013.54 -837.674012762806 53.0089920986838
"135" NA NA NA
"136" 2013.79 -1010.06735127462 54.1654961922806
"137" 2013.87 -958.962845552582 54.481775830984
"138" 2013.95 -894.163075293577 55.1540506175546
"139" 2014.04 -792.789945907292 60.6293680247361
"140" 2014.2 -758.26627274973 54.338594157361
"141" 2014.29 -752.59289283356 54.492712996387
"142" 2014.37 -785.328232058583 54.0351673737833
"143" 2014.45 -841.954336358586 55.7320067694491
"144" NA NA NA
"145" 2014.62 -1050.77092554116 54.9541542074575
"146" 2014.7 -1096.42108002059 55.2947227558641
"147" 2014.79 -1100.89925615355 55.1440124687264
"148" 2014.87 -1050.55914528762 55.517868786724
"149" NA NA NA
"150" 2015.04 -1001.28003457074 66.1475434172775
"151" 2015.12 -933.955720358793 73.4238808674381
"152" 2015.2 -905.432063157724 56.3862018959429
"153" 2015.29 -893.798791928529 56.2387345671027
"154" 2015.32 -953.471868847707 56.3469712285822
"155" NA NA NA
"156" 2015.54 -1142.40082025804 58.5414105333114
"157" 2015.62 -1205.71327069863 57.0709966410671
"158" 2015.7 -1164.67689553906 57.8995240468981
"159" NA NA NA
"160" 2015.95 -1034.15958483958 59.9992257075645
"161" 2016.04 -1003.9361668728 58.7720157131446
"162" 2016.12 -951.193827719973 58.8405537964494
"163" 2016.2 -934.65078692785 59.2153565376759
"164" NA NA NA
"165" 2016.37 -987.511986353093 60.9016440059271
"166" 2016.45 -1064.0921607117 60.5338123264074
